Date : 2020-09-05 23:01:18
Directory : /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src
Total : 247 files,  10436 codes, 369 comments, 2314 blanks, all 13119 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |        207 |      7,684 |        288 |      1,894 |      9,866 |
| HTML       |         19 |      1,782 |         13 |        140 |      1,935 |
| CSS        |         19 |        933 |         50 |        261 |      1,244 |
| JavaScript |          1 |         30 |          4 |         11 |         45 |
| SCSS       |          1 |          7 |         14 |          8 |         29 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                             |        247 |     10,436 |        369 |      2,314 |     13,119 |
| app                                                                                                                                           |        238 |      9,966 |        262 |      2,186 |     12,414 |
| app/core                                                                                                                                      |         12 |        445 |         32 |        144 |        621 |
| app/core/main                                                                                                                                 |          5 |        341 |         30 |        101 |        472 |
| app/core/services                                                                                                                             |          6 |         95 |          2 |         39 |        136 |
| app/core/services/app                                                                                                                         |          2 |         47 |          1 |         19 |         67 |
| app/core/services/task                                                                                                                        |          2 |         22 |          1 |          9 |         32 |
| app/core/services/time                                                                                                                        |          2 |         26 |          0 |         11 |         37 |
| app/database                                                                                                                                  |         55 |      2,596 |         54 |        590 |      3,240 |
| app/database/data                                                                                                                             |         43 |      1,957 |         38 |        413 |      2,408 |
| app/database/data/common                                                                                                                      |         30 |      1,382 |         31 |        254 |      1,667 |
| app/database/data/common/models                                                                                                               |          6 |        147 |          0 |         45 |        192 |
| app/database/data/common/order                                                                                                                |          2 |        147 |          3 |         23 |        173 |
| app/database/data/common/repositories                                                                                                         |         10 |        139 |          1 |         27 |        167 |
| app/database/data/common/store                                                                                                                |          9 |        855 |         26 |        138 |      1,019 |
| app/database/data/models                                                                                                                      |         13 |        575 |          7 |        159 |        741 |
